labels,titles,data,sources,links,types,date
news,Fake 5G icons,AT&T mocked over 5G phone icon 'update',bbc,https://www.bbc.com/news/technology-46795086,manufactoring,15/12/2018
news,Verizons 5g smartphone,This is verzons first 5g smartphone,cent.com,https://www.cnet.com/news/this-is-verizons-first-5g-smartphone/,manufactoring,1/1/2019
news,What is 5G,5G: everything you need to know,techradar.com,https://www.techradar.com/news/what-is-5g-everything-you-need-to-know,manufactoring,20/09/2018
news,5G smartphone sales expected,CTA: US sales of 5G smartphones will generate $1 billion in 2019,telecomstechnews.com,https://www.telecomstechnews.com/categories/5g/,manufactoring,5/1/2019
news,5G networks,We need new thinking to roll out 5G networks: Bharti's Sunil Mittal,telecom.economictimes.indiatimes.com,https://telecom.economictimes.indiatimes.com/news/the-real-social-network/67360022,manufactoring,1/1/2019
news,5G smartphone,Sprint to debut 5G smartphones with Samsung in U.S. in summer,telecom.economictimes.indiatimes.com,https://telecom.economictimes.indiatimes.com/news/sprint-to-debut-5g-smartphones-with-samsung-in-u-s-in-summer/67430463,manufactoring,20/11/2018
news,5G auction in germany,Deutsche Telekom sues German government over 5G auction: Report,telecom.economictimes.indiatimes.com,https://telecom.economictimes.indiatimes.com/news/deutsche-telekom-sues-german-government-over-5g-auction-welt/67343693,manufactoring,15/12/2018
news,Stay ahead of the game,Get up to speed with 5G and stay ahead of the game,telecom.economictimes.indiatimes.com,https://telecom.economictimes.indiatimes.com/news/get-up-to-speed-with-5g-and-stay-ahead-of-the-game/67343641,manufactoring,5/1/2019
news,Fake 5G logo,T-Mobile roasts AT&T for updating phones with a fake 5G logo,theaverage.com,https://www.theverge.com/2019/1/7/18173215/tmobile-att-fake-5g-network-troll-9g-iphone,manufactoring,1/1/2019
news,5G rules,Germany’s Federal Network Agency Catches Flak For 5G Rules,spectrum.ieee.org,https://spectrum.ieee.org/tech-talk/telecom/wireless/germanys-federal-network-agency-catches-flak-for-5g-rules,manufactoring,29/12/2018
news,Test of 5G network,Test and Measurement Is a Major Hurdle for 5G,spectrum.ieee.org,https://spectrum.ieee.org/tech-talk/telecom/wireless/test-equipment-a-major-hurdle-for-5g,manufactoring,2/8/2018
news,5G perspective,A Look at the Future of 5G,spectrum.ieee.org,https://spectrum.ieee.org/computing/software/a-look-at-the-future-of-5g,manufactoring,7/11/2018
news,MMWave communication prototype,The Anatomy of mmWave Communications Prototype for 5G Testing,spectrum.ieee.org,https://spectrum.ieee.org/telecom/internet/the-anatomy-of-mmwave-communications-prototype-for-5g-testing,manufactoring,12/12/2018
news,Test bed for new 5G technologies,Building a Test Bed for New 5G Technology Using NI Software Defined Radio,spectrum.ieee.org,https://spectrum.ieee.org/telecom/internet/building-a-test-bed-for-new-5g-technology-using-ni-software-defined-radio,manufactoring,5/1/2018
news,Fbar filters for 5G ,Design and Optimization of FBAR Filters to Enable 5G,spectrum.ieee.org,https://spectrum.ieee.org/telecom/wireless/design-and-optimization-of-fbar-filters-to-enable-5g,manufactoring,1/1/2019
news,Test and measurment,Test and Measurement Is a Major Hurdle for 5G,spectrum.ieee.org,https://spectrum.ieee.org/tech-talk/telecom/wireless/test-equipment-a-major-hurdle-for-5g,manufactoring,2/1/2019
