titles,data,links,labels,images,sources
Smart vehicles and transport,"Sensors embedded in roads, railways, airfields and vehicles will communicate with each other through the 5G network. Ericsson is fully aware that this use case is focused on massive machine type communication and is working to ensure that the 5G network has the necessary high coverage and low power consumption.",https://www.ericsson.com/en/5g/use-cases/smart-vehicles-and-transport,automative,https://www.ericsson.com/assets/global/scaled/101208-0871-1_388x219_90_15486.jpg,Ericsson
Critical services and infrastructure control,"5G brings high reliability and low latency required to control critical services and infrastructure. This unlocks new opportunities for public safety, government, city management and utility companies.",https://www.ericsson.com/en/5g/use-cases/critical-services-and-infrastructure-control,manufacturing,https://www.ericsson.com/assets/global/scaled/_roy8994_retouched_388x219_90_14786.jpg,Ericsson
Sensors networks,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings.",https://www.ericsson.com/en/5g/use-cases/sensors-measurement-and-report,agriculture,https://www.ericsson.com/assets/global/scaled/dsn_9858-1_388x219_90_14789.jpg,Ericsson
Critical control of remote devices,Ericsson's 5G network allows for remote control of heavy machinery. This opens the way for new possibilities such as increased efficiency and reduced cost or risk reduction in hazardous environments.,https://www.ericsson.com/en/5g/use-cases/critical-control-of-remote-devices,manufacturing,https://www.ericsson.com/assets/global/scaled/trygg_ericsson_9_0011_388x219_90_15488.jpg,Ericsson
Human and machine interaction,"The high performance of 5G networks will make IoT more accessible by humans, to enhance the awareness of the context in which people live. Ericsson 5G system allows for the context awareness that allows you to fill the gap between people and IoT.",https://www.ericsson.com/en/5g/use-cases/human-machine-interaction,entertainment,https://www.ericsson.com/assets/global/scaled/_roy4191_388x219_90_15489.jpg,Ericsson
Sensor networks for farming and agriculture,"The huge leap forward in connectivity that 5G will bring is set to increase profitability, efficiency and safety across a number of markets globally and many would argue, none more-so than in agriculture and farming.",http://www.carritech.com/news/5g-use-cases-sensor-networks-farming-agriculture/,agriculture,http://www.carritech.com/wp-content/uploads/2017/03/phytech-350x224.png,carritech telecommunications
Vital tracking wearables,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.  Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient’s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).  The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor’s diagnoses.",http://www.carritech.com/news/5g-use-cases-healthcare/,healthcare,http://www.carritech.com/wp-content/uploads/2018/04/5G-Use-Cases-Healthcare.jpg,Carritech Telecommunications
Secure remote consultations,"With 5G services, trips to your local doctor’s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.  These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.  Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",http://www.carritech.com/news/5g-use-cases-healthcare/,healthcare,http://www.carritech.com/wp-content/uploads/2018/04/5G-Use-Cases-Healthcare.jpg,Carritech Telecommunications
Assisted and fully robotic surgery,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and ‘feel’ the patient they are operating on from a different location.  The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",http://www.carritech.com/news/5g-use-cases-healthcare/,healthcare,http://www.carritech.com/wp-content/uploads/2018/04/5G-Use-Cases-Healthcare.jpg,Carritech Telecommunications
2D/3D scanning,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient’s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.",http://www.carritech.com/news/5g-use-cases-healthcare/,healthcare,http://www.carritech.com/wp-content/uploads/2018/04/5G-Use-Cases-Healthcare.jpg,Carritech Telecommunications
Vehicles and Transportation,Connecting private vehicles and public transport with 5G will completely revolutionize the way that we will travel in our day to day lives.,http://www.carritech.com/news/5g-use-cases-vehicles-transportation/,automative,http://www.carritech.com/wp-content/uploads/2017/02/5G-uSe-Cases-Vehicles-and-Transportation-b.jpg,Carritech Telecommunications
Tactile  Internet  &  Skillset  c ommunication ,"Having   a  network   capable   of  transferring   our   tactile  communication  through  Internet  will  help  us  to  move  from  today ’s content  and information  delivery  Internet  to  a  manual  skill set delivery  Internet .  This  will  create  new  ways  of  Tele - teaching and  T ele - mentoring especially for manual  training and skill development . The use of Tactile Internet in education  can bring new definition and experience for distance learning and distance team - working.  In order to have  a natural haptic interaction of ou r limbs with video and audio feedback the response time of service should  be very low, i.e., the round trip  time o f few m illiseconds which can be only envisaged by 5G.",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
V irtual Reality &  education,"Whi le the initial use  case  for VR was  the  entertainment industry,  it also has relevance in education and training, and will have a big role in providing quality education and improving  understanding - based learning among students.  By t ailoring these services  to education ,  ( e.g . by , having  virtual t our s of the human body with the possibility of interacting with model s and moving  the  different  layers of  the  body ) ,  the  learning process can be  more fun and  much more interesting. This also  can bring  new experience s for distance learning ,  enabling the vir tual  presence of students (e.g.,  located  in suburban  area ) in the classroom . This type of service need s very high bandwidth (bi - directional) and very low latency (i.e., 2 - 4ms). ",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
Augmented  Reality &  education ,"Similar to  the  VR,  AR  has  already  started  to  show  its  relevance  and  usefulness in education. Providing  the  necessary information can make contextualised learning ubiquitous  and pervasive.  AR can be an efficient way of providing  the  right amount of information at  the right time to  the right  audience .  Also, immersive AR can enable new way s of learning and team working in education  through services such as mobile cloud classroom and Virtual Presence .  Enhancing  the  learning experien ce  is not the only possible use  case for AR. It can also help teachers to get necessary information about each  student and be aware of their  particular need s and capabilities. The requirements for implementing such  services ,  including optimised routing, seamless wide - area coverage, virtual p resence, low delay speech &  video coding,  need to be considered .",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
Walled - off  classroom,"By  combining  Tactile  Internet  and  VR ,  the  future  experience  in  teaching  and  learning could  go  far  beyond  today ’s exp erience . This  can  remove  the  physical  location  constraint  for  experimental  practices , and  facilitate and  enable the  shar ing of  resources between  larger numbers of  students irrespective  of  their  current  location .  The  impact  would  be  more  significant  in  hands - on - experience with expensive equipment and fa cilities.",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
Personalised learning,"Individual access to a mobile device holds the promise to connect each learner into  intelligent  personalised  systems  that  can  suggest  learning  pathways,  enable  aggregated  analysis  and  through better data capture of learner  experiences enable much better decision making about all aspects  of a students’ education.  Categorising students in different groups and suggesting different multi - media  contents can increase the load on the network. However, i n - network caching technologie s such as  Content  Centric  Networks  (CCN)  and  Inform ation  Centric  Networks  (ICN)  can  be  used  to  improve  efficiency  by  reducing the service response time and bandwidth consumption. ",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
Student w ireless  b ackpack,Today’s cloud - based  storage  services have  made  it possible  to access  files irrespective of device of use .  D ue to the centralised architecture of  cloud providers there is  a  notable delay  in access  to  the  content  even  with  a  relatively  fast  internet  connection.  Future  mobile  technology  will  4 enable single d evice content access anywhere by using distributed cloud and mobile edge computing. All  the  user needs is a device to access any of his personal content and stored file s .  Using this feature students  can  resume  their  work  at  a convenient  time  and  place  thro ugh  different  device s with  an  impression  of  immediate response time ,https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
