Label,data,,,
education,"Having   a  network   capable   of  transferring   our   tactile  communication  through  Internet  will  help  us  to  move  from  today �s content  and information  delivery  Internet  to  a  manual  skill set delivery  Internet .  This  will  create  new  ways  of  Tele - teaching and  T ele - mentoring especially for manual  training and skill development . The use of Tactile Internet in education  can bring new definition and experience for distance learning and distance team - working.  In order to have  a natural haptic interaction of ou r limbs with video and audio feedback the response time of service should  be very low, i.e., the round trip  time o f few m illiseconds which can be only envisaged by 5G.",,,
education,"Whi le the initial use  case  for VR was  the  entertainment industry,  it also has relevance in education and training, and will have a big role in providing quality education and improving  understanding - based learning among students.  By t ailoring these services  to education ,  ( e.g . by , having  virtual t our s of the human body with the possibility of interacting with model s and moving  the  different  layers of  the  body ) ,  the  learning process can be  more fun and  much more interesting. This also  can bring  new experience s for distance learning ,  enabling the vir tual  presence of students (e.g.,  located  in suburban  area ) in the classroom . This type of service need s very high bandwidth (bi - directional) and very low latency (i.e., 2 � 4ms).",,,
education,"Similar to  the  VR,  AR  has  already  started  to  show  its  relevance  and  usefulness in education. Providing  the  necessary information can make contextualised learning ubiquitous  and pervasive.  AR can be an efficient way of providing  the  right amount of information at  the right time to  the right  audience .  Also, immersive AR can enable new way s of learning and team working in education  through services such as mobile cloud classroom and Virtual Presence .  Enhancing  the  learning experien ce  is not the only possible use  case for AR. It can also help teachers to get necessary information about each  student and be aware of their  particular need s and capabilities. The requirements for implementing such  services ,  including optimised routing, seamless wide - area coverage, virtual p resence, low delay speech &  video coding,  need to be considered .",,,
education,"By  combining  Tactile  Internet  and  VR ,  the  future  experience  in  teaching  and  learning could  go  far  beyond  today �s exp erience . This  can  remove  the  physical  location  constraint  for  experimental  practices , and  facilitate and  enable the  shar ing of  resources between  larger numbers of  students irrespective  of  their  current  location .  The  impact  would  be  more  significant  in  hands - on - experience with expensive equipment and fa cilities.",,,
education,"Individual access to a mobile device holds the promise to connect each learner into  intelligent  personalised  systems  that  can  suggest  learning  pathways,  enable  aggregated  analysis  and  through better data capture of learner  experiences enable much better decision making about all aspects  of a students� education.  Categorising students in different groups and suggesting different multi - media  contents can increase the load on the network. However, i n - network caching technologie s such as  Content  Centric  Networks  (CCN)  and  Inform ation  Centric  Networks  (ICN)  can  be  used  to  improve  efficiency  by  reducing the service response time and bandwidth consumption. ",,,
education,Today�s cloud - based  storage  services have  made  it possible  to access  files irrespective of device of use .  D ue to the centralised architecture of  cloud providers there is  a  notable delay  in access  to  the  content  even  with  a  relatively  fast  internet  connection.  Future  mobile  technology  will  4 enable single d evice content access anywhere by using distributed cloud and mobile edge computing. All  the  user needs is a device to access any of his personal content and stored file s .  Using this feature students  can  resume  their  work  at  a convenient  time  and  place  thro ugh  different  device s with  an  impression  of  immediate response time . ,,,
education,"Advances in mobile technology and robotics can open new opportunities  to assist students  with  especial  needs ,  making learning easier  for  them .  Cloud - based  ro bots  can  be  considered as  a  full - time  assistan t for  disabled  students,  helping  them  to  interact  with  the  education  environment and  their  peers . Rather than having  to call a teacher over for help ( which can cost both the  student  and  the  teacher  time  they  c o uld  be  using  more  productively )  the  student s can  take  care  of  the  issue with the help of their robot. ",,,
education,"IoT applications are affecting all aspect of our life, from smart  building to smart healthcare. However, one of the fast growing area of these applications is in education  which can improve our today�s teaching, learning and campus operating experience. IoT applications c an  also help us change the role of teachers in the classroom, reducing the burden of administrative load on  them  and  allowing  them  to  concentrate  more  on  individuals.  B eing  automatically  logged  into  the  classroom  as  soon  as  entering  to  the  class ,  being  dis tracted  by  a  signal  as  soon  as  losing  concentration  during lecture, real - time feedback to a lecturer about areas that students still have problem based on  the  real - time  analyses  of their  notes,  all  are  just  few  examples  of  how  IoT  and  connected  classroom  c an  enhance learning and teaching experience.",,,
healthcare,Discover how we helped UPMC build an IT infrastructure for the future,,,
healthcare,Learn how we�re helping Taiwan provide universal access to healthcare at a reasonable cost,,,
healthcare,"Learn how an agile and scalable IT infrastructure and digital technologies can help you deliver highly connected, patient-driven care",,,
automative,Transform your networks with our end-to-end portfolio of mission-critical railway communications solutions,,,
automative,Our solutions are helping Trafikverket take railway communications to the next level,,,
automative,"We�re helping SBB renew its data network to support a new platform for mission-critical operations, passenger services and business trafic",,,
agriculture,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings. ",,,
healthcare,"The high performance of 5G networks will make IoT more accessible by humans, to enhance the awareness of the context in which people live. Ericsson 5G system allows for the context awareness that allows you to fill the gap between people and IoT.",,,
automative,"Sensors embedded in roads, railways, airfields and vehicles will communicate with each other through the 5G network. Ericsson is fully aware that this use case is focused on massive machine type communication and is working to ensure that the 5G network has the necessary high coverage and low power consumption.",,,
healthcare,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.  Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient�s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).  The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor�s diagnoses.",,,
