titles,data,labels,
Wearables,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient�s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor�s diagnoses.",healthcare,
Secure remote consultations,"With 5G services, trips to your local doctor�s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",healthcare,
Assisted and fully robotic surgery,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and �feel� the patient they are operating on from a different location.The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",healthcare,
2D/3D scanning,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient�s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.It would also be able to assist in training, again for trainee professionals to better understand a patient and their symptoms.",healthcare,
Video Analytics,"Smart farming all about collecting the right data and using it to optimize your resource-planning and operation. Artificial Vision technologies using artificial intelligence are making waves in the agriculture sector just like they are in any other. Smart Agriculture is a major use case for vision-based automation and data analytics applications, driven by drones and vision based harvesting, weeding and so on. Deploying compute capabilities using ventless industrial PC�s at the edge allows for on-site analytics and quick access to graphic-heavy data and analytics.Besides edge computing devices, deployment of 4G/LTE/5G connectivity is another key factor in evolution of high-resolution visual data collection in remote environment. Industrial Communication Gateways with integrated LTE connectivity offer a great onsite compute platform along with cellular communication with cloud.",agriculture,
Environmental Monitoring,"One of the biggest advantages that edge computing has brought to farming and agriculture over the past few years is the ability to remotely monitor different aspects of a farm�s agricultural operations. Networks of sensors, ranging from several sporadically placed sensors to thousands of connected devices monitoring aspects such as soil, weather and humidity and temperature conditions as well as acidity and pH levels.Edge computing allows for the data necessary in delivering such solutions to be generated and collected much closer to the source while also enabling some data processing operations to be performed in the edge devices themselves. Allowing farmers and agricultural workers detailed insights about their operational environments is a big selling point with any new technology, and edge computing is no different.",agriculture,
 Robotics,"While neither robotics technologies or artificial intelligence systems have quite given us the android companions science fiction has predicted for so long, we are now getting to a point in time where such robotic iterations don�t seem so much like science fiction anymore and appear to us more as feasible possibilities.While robotics has been an active part of many industries for decades now, car manufacturing, for example, it has also been slow to gain traction elsewhere. With the help of edge computing and IoT device networks, this is no longer the case.Within agriculture, the recent emergence of smart farming frameworks has promoted the use of edge computing and Internet of Things (IoT) systems devices, and laid the groundwork to enable IoT-driven robotics to be developed for smart farms. These systems are capable of being programmed to perform automated tasks such as picking vegetables as well as spraying plants and crops, with more applications currently being developed.",agriculture,
Automation,"The use of virtualization, automation, and Big Data have been the key drivers for what has become known as the fourth industrial revolution, and so it is no surprise that automation is playing a growing role in many smart farming and agricultural enterprises. As previously mentioned, automated robotics, as well as soil injections, heaters, and lighting can all be utilised through the use of edge computing and automation systems.When coupled with the various remote monitoring applications and software now available to smart farms and agricultural enterprises, automation can become a powerful tool to farmers. The many benefits of automation continue to grow as do its applications within smart farming and, with systems such as 5G wireless networks and powerful machine learning algorithms also currently being developed, it seems automation�s role in smart farming and agriculture is just beginning.",agriculture,
Vertical Farming,"We as a species live on a planet of finite resources, and one of those finite resources is farmable land. Soil degradation is a growing problem around the world and the amount of farmable land we have is, unfortunately, slowly decreasing. In response to this growing crisis, scientists and farmers from around the world have developed what has become known as vertical farming. Vertical farming involves using the data collected from a network of IoT sensors and devices to optimize the growing of food and plants without the need for farm land.In vertical farms for example, moisture levels are controlled with a network of sensors that constantly monitor a mist that surrounds the plant. Using edge computing, much of the data processing involved in such operations can be done on the edge devices themselves, without the need to be sent to the cloud, further adding to the benefits of such systems within farming environments.While we continue to move into the Fourth Industrial Revolution, analytics technologies, automation, 5G, and AI and machine learning technologies will all begin to become more prominent and integrated into smart farms and agriculture. As we�ve seen over the course of this article, this will be in large part thanks to the foundations laid by edge computing.",agriculture,
Sensors networks,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings.",agriculture,
