labels,titles,data,sources,links,types,date
socialmedia,"IOT: ""DECENTRALIZED SURVEILLANCE"," ""DECENTRALIZED SURVEILLANCE""",facebook,https://www.apnews.com/12787de930564f2cbe8fadfdf63e2e7e?fbclid=IwAR0ffoIMU9U1nofffx8tpeczQSEhoXMQE9ALZVGBi0HamZK-jeIGzms3JFY,Smart buildings,8/1/2019
socialmedia,Risk about antenna,"Mobile Phone Base Station Tower Settings Adjacent to School Buildings: Impact on Students' Cognitive Health.
",facebook,https://www.ncbi.nlm.nih.gov/pubmed/?term=Mobile+Phone+Base+Station+Tower+Settings+Adjacent+to+School+Buildings%3A+Impact+on+Students%E2%80%99+Cognitive+Health&fbclid=IwAR1sXoMPDXIxEhqGB7Le7jmKYQs92IP_2ATSu--03NQbZuj_c3zp43OxYQs,Smart buildings,0/1/2019
socialmedia,Risk about antenna,"The technology Grinch stole? Christmas, Exposed the Naked Wireless Emperor, and upended privacy",facebook,https://www.ncbi.nlm.nih.gov/pubmed/?term=Mobile+Phone+Base+Station+Tower+Settings+Adjacent+to+School+Buildings%3A+Impact+on+Students%E2%80%99+Cognitive+Health&fbclid=IwAR1sXoMPDXIxEhqGB7Le7jmKYQs92IP_2ATSu--03NQbZuj_c3zp43OxYQs,Smart buildings,8/1/2019
socialmedia,Radiation From Mobile Phones Can Cause Cancer,"Radiation From Mobile Phones Can Cause Cancer? Insurance Underwriters Refuse Industry Cover, Legal Cases Underway
",facebook,https://www.globalresearch.ca/radiation-from-mobile-phones-can-cause-cancer-insurance-underwriters-refuse-industry-cover-legal-cases-underway/5648300?fbclid=IwAR0sBhxIpKnPvWjXeoLkgZL9nw7EZlI9uuHlFzPrnDJO-nrjCxAzq1td1UI,Manifacturing,3/1/2019
socialmedia,Radiation From Mobile Phones Can Cause Cancer,"5G Dangers, 5th Generation Wireless Technology. Health and Environmental Impacts",facebook,https://www.globalresearch.ca/5g-dangers-5th-generation-wireless-technology-health-and-environmental-impacts/5663264?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Manifacturing,18/11/2018
socialmedia,Microwave radiation,5G Corporate Grail. Microwave Radiation,facebook,https://www.globalresearch.ca/5g-corporate-grail-microwave-radiation/5659341?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Manifacturing,9/11/2018
socialmedia,5G wireless,"The Wifi Alliance, Coming Soon to Your Neighborhood: 5G Wireless",facebook,https://www.globalresearch.ca/coming-soon-to-your-neighborhood-5g-wireless/5646667?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Manifacturing,6/6/2018
socialmedia,5G radiation,"Cell Phone Radiation: Health Impacts, What can we do to Increase Safety",facebook,https://www.globalresearch.ca/cell-phone-radiation-health-impacts-what-can-we-do-to-increase-safety/5622941?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Smart buildings,16/12/2017
socialmedia,Toxic radiation,Toxic Risks of Electromagnetic Fields: The Health Impacts of Smart Meters,facebook,https://www.globalresearch.ca/toxic-risks-of-electromagnetic-fields-the-health-impacts-of-smart-meters/5606569?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Smart buildings,29/08/2017
socialmedia,Wave effects on brain,"Brain Wave Warping Effect of Mobile Phones, Study Reveals",facebook,https://www.globalresearch.ca/brain-wave-warping-effect-of-mobile-phones-study-reveals/5462296?utm_campaign=magnet&utm_source=article_page&utm_medium=related_articles,Manufactoring,12/7/2015
